Date,Q,R,Sta,Fin,Latitude,Longitude,Estimate,Quantity,Error
11/11/2020 08:33:39,Q1,Rank3,Survey Preview,True,51.5384063720703,-0.03900146484375,81,20,61
11/11/2020 08:33:39,Q2,Rank3,Survey Preview,True,51.5384063720703,-0.03900146484375,80,93,13
11/11/2020 08:33:39,Q3,Rank4,Survey Preview,True,51.5384063720703,-0.03900146484375,60,76,16
11/11/2020 08:33:39,Q4,Rank5,Survey Preview,True,51.5384063720703,-0.03900146484375,74,20,54
11/11/2020 08:33:39,Q5,Rank5,Survey Preview,True,51.5384063720703,-0.03900146484375,65,68,3
11/11/2020 08:33:39,Q6,Rank6,Survey Preview,True,51.5384063720703,-0.03900146484375,43,82,39
11/11/2020 08:33:39,Q7,Rank1,Survey Preview,True,51.5384063720703,-0.03900146484375,54,77,23
11/11/2020 08:33:39,Q8,Rank2,Survey Preview,True,51.5384063720703,-0.03900146484375,70,42,28
11/11/2020 08:33:39,Q9,Rank1,Survey Preview,True,51.5384063720703,-0.03900146484375,66,62,4
11/11/2020 08:33:39,Q10,Rank2,Survey Preview,True,51.5384063720703,-0.03900146484375,55,82,27
11/11/2020 09:36:18,Q1,Rank3,IP Address,True,51.4956970214844,-0.177200317382812,44,20,24
11/11/2020 09:36:18,Q2,Rank3,IP Address,True,51.4956970214844,-0.177200317382812,54,93,39
11/11/2020 09:36:18,Q3,Rank4,IP Address,True,51.4956970214844,-0.177200317382812,51,76,25
11/11/2020 09:36:18,Q4,Rank5,IP Address,True,51.4956970214844,-0.177200317382812,28,20,8
11/11/2020 09:36:18,Q5,Rank5,IP Address,True,51.4956970214844,-0.177200317382812,46,68,22
11/11/2020 09:36:18,Q6,Rank6,IP Address,True,51.4956970214844,-0.177200317382812,48,82,34
11/11/2020 09:36:18,Q7,Rank1,IP Address,True,51.4956970214844,-0.177200317382812,44,77,33
11/11/2020 09:36:18,Q8,Rank2,IP Address,True,51.4956970214844,-0.177200317382812,27,42,15
11/11/2020 09:36:18,Q9,Rank1,IP Address,True,51.4956970214844,-0.177200317382812,66,62,4
11/11/2020 09:36:18,Q10,Rank2,IP Address,True,51.4956970214844,-0.177200317382812,74,82,8
11/11/2020 09:35:08,Q1,Rank3,IP Address,True,51.4956970214844,-0.177200317382812,100,20,80
11/11/2020 09:35:08,Q2,Rank3,IP Address,True,51.4956970214844,-0.177200317382812,68,93,25
11/11/2020 09:35:08,Q3,Rank4,IP Address,True,51.4956970214844,-0.177200317382812,100,76,24
11/11/2020 09:35:08,Q4,Rank5,IP Address,True,51.4956970214844,-0.177200317382812,17,20,3
11/11/2020 09:35:08,Q5,Rank5,IP Address,True,51.4956970214844,-0.177200317382812,40,68,28
11/11/2020 09:35:08,Q6,Rank6,IP Address,True,51.4956970214844,-0.177200317382812,45,82,37
11/11/2020 09:35:08,Q7,Rank1,IP Address,True,51.4956970214844,-0.177200317382812,70,77,7
11/11/2020 09:35:08,Q8,Rank2,IP Address,True,51.4956970214844,-0.177200317382812,29,42,13
11/11/2020 09:35:08,Q9,Rank1,IP Address,True,51.4956970214844,-0.177200317382812,60,62,2
11/11/2020 09:35:08,Q10,Rank2,IP Address,True,51.4956970214844,-0.177200317382812,60,82,22
11/11/2020 09:35:28,Q1,Rank3,IP Address,True,51.5267944335937,-0.186996459960937,15,20,5
11/11/2020 09:35:28,Q2,Rank3,IP Address,True,51.5267944335937,-0.186996459960937,100,93,7
11/11/2020 09:35:28,Q3,Rank4,IP Address,True,51.5267944335937,-0.186996459960937,100,76,24
11/11/2020 09:35:28,Q4,Rank5,IP Address,True,51.5267944335937,-0.186996459960937,20,20,0
11/11/2020 09:35:28,Q5,Rank5,IP Address,True,51.5267944335937,-0.186996459960937,66,68,2
11/11/2020 09:35:28,Q6,Rank6,IP Address,True,51.5267944335937,-0.186996459960937,93,82,11
11/11/2020 09:35:28,Q7,Rank1,IP Address,True,51.5267944335937,-0.186996459960937,70,77,7
11/11/2020 09:35:28,Q8,Rank2,IP Address,True,51.5267944335937,-0.186996459960937,45,42,3
11/11/2020 09:35:28,Q9,Rank1,IP Address,True,51.5267944335937,-0.186996459960937,62,62,0
11/11/2020 09:35:28,Q10,Rank2,IP Address,True,51.5267944335937,-0.186996459960937,66,82,16
11/11/2020 09:36:31,Q1,Rank3,IP Address,True,51.5144958496094,0.0706024169921875,24,20,4
11/11/2020 09:36:31,Q2,Rank3,IP Address,True,51.5144958496094,0.0706024169921875,100,93,7
11/11/2020 09:36:31,Q3,Rank4,IP Address,True,51.5144958496094,0.0706024169921875,85,76,9
11/11/2020 09:36:31,Q4,Rank5,IP Address,True,51.5144958496094,0.0706024169921875,19,20,1
11/11/2020 09:36:31,Q5,Rank5,IP Address,True,51.5144958496094,0.0706024169921875,80,68,12
11/11/2020 09:36:31,Q6,Rank6,IP Address,True,51.5144958496094,0.0706024169921875,86,82,4
11/11/2020 09:36:31,Q7,Rank1,IP Address,True,51.5144958496094,0.0706024169921875,81,77,4
11/11/2020 09:36:31,Q8,Rank2,IP Address,True,51.5144958496094,0.0706024169921875,23,42,19
11/11/2020 09:36:31,Q9,Rank1,IP Address,True,51.5144958496094,0.0706024169921875,66,62,4
11/11/2020 09:36:31,Q10,Rank2,IP Address,True,51.5144958496094,0.0706024169921875,60,82,22
11/11/2020 09:36:25,Q1,Rank3,IP Address,True,34.1020965576172,-118.047401428223,30,20,10
11/11/2020 09:36:25,Q2,Rank3,IP Address,True,34.1020965576172,-118.047401428223,90,93,3
11/11/2020 09:36:25,Q3,Rank4,IP Address,True,34.1020965576172,-118.047401428223,96,76,20
11/11/2020 09:36:25,Q4,Rank5,IP Address,True,34.1020965576172,-118.047401428223,19,20,1
11/11/2020 09:36:25,Q5,Rank5,IP Address,True,34.1020965576172,-118.047401428223,75,68,7
11/11/2020 09:36:25,Q6,Rank6,IP Address,True,34.1020965576172,-118.047401428223,90,82,8
11/11/2020 09:36:25,Q7,Rank1,IP Address,True,34.1020965576172,-118.047401428223,76,77,1
11/11/2020 09:36:25,Q8,Rank2,IP Address,True,34.1020965576172,-118.047401428223,30,42,12
11/11/2020 09:36:25,Q9,Rank1,IP Address,True,34.1020965576172,-118.047401428223,75,62,13
